id,ra,dec,maj_ax,min_ax
NGC6719,19:03:07.49,-68:35:18.1,1.66,0.84
NGC6720,18:53:35.01,+33:01:42.9,1.27,
NGC6721,19:00:50.81,-57:45:34.0,1.9,1.58
NGC6722,19:03:40.37,-64:53:40.1,2.93,0.51
NGC6723,18:59:33.15,-36:37:53.3,9.3,
NGC6724,18:56:46.88,+10:25:42.8,3.18,
NGC6725,19:01:56.62,-53:51:47.1,2.65,0.52
NGC6726,19:01:39.30,-36:53:28.7,9.0,7.0
NGC6727,19:01:42.27,-36:52:34.5,80.0,80.0
NGC6728,18:58:45.04,-08:57:57.6,4.5,
NGC6729,19:01:55.40,-36:57:27.5,25.0,20.0
NGC6730,19:07:33.65,-68:54:46.1,2.2,1.83
NGC6731,18:57:13.47,+43:04:36.4,,
NGC6732,18:56:24.02,+52:22:39.4,0.94,0.68
NGC6733,19:06:10.63,-62:11:48.9,1.96,1.39
NGC6734,19:07:14.33,-65:27:42.7,1.38,0.9
NGC6735,19:00:37.36,-00:28:31.4,5.1,
NGC6736,19:07:29.25,-65:25:43.0,1.11,0.88
NGC6737,19:02:17.47,-18:32:49.1,6.6,
NGC6738,19:01:21.56,+11:36:56.2,5.4,
NGC6739,19:07:48.76,-61:22:05.2,2.65,0.89
NGC6740,19:00:50.51,+28:46:16.4,1.09,0.76
NGC6741,19:02:37.00,-00:26:57.8,0.13,
NGC6742,18:59:19.90,+48:27:55.0,0.55,
NGC6743,19:01:20.67,+29:16:38.9,6.9,
NGC6744,19:09:46.10,-63:51:27.1,15.67,9.75
NGC6744A,19:08:43.76,-63:43:49.8,1.64,0.6
NGC6745,19:01:41.70,+40:45:11.0,2.3,
NGC6745 NED01,19:01:41.44,+40:44:52.3,0.95,0.46
NGC6745 NED02,19:01:41.73,+40:45:35.9,0.69,0.22
NGC6745 NED03,19:01:41.98,+40:45:04.9,0.33,0.18
NGC6746,19:10:22.01,-61:58:12.6,1.56,1.09
NGC6747,18:55:21.65,+72:46:17.5,0.65,0.5
NGC6748,19:05:55.55,-05:59:32.3,,
NGC6749,19:05:15.60,+01:54:02.2,5.1,
NGC6750,19:00:36.11,+59:10:00.3,1.08,0.69
NGC6751,19:05:55.55,-05:59:32.3,0.34,
NGC6752,19:10:51.78,-59:58:54.7,13.2,
NGC6753,19:11:23.64,-57:02:58.4,2.97,2.6
NGC6754,19:11:25.72,-50:38:30.5,2.02,1.08
NGC6755,19:07:49.05,+04:15:59.1,6.0,
NGC6756,19:08:42.57,+04:42:20.8,3.6,
NGC6757,19:05:03.38,+55:42:54.6,1.71,1.15
NGC6758,19:13:52.34,-56:18:35.8,2.75,2.14
NGC6759,19:06:56.84,+50:20:39.2,0.97,0.67
NGC6760,19:11:12.06,+01:01:49.7,5.4,
NGC6761,19:15:04.80,-50:39:24.6,1.63,1.42
NGC6762,19:05:37.08,+63:56:02.5,1.55,0.34
NGC6763,19:05:37.08,+63:56:02.5,,
NGC6764,19:08:16.37,+50:55:59.6,2.49,1.22
NGC6765,19:11:06.50,+30:32:44.0,0.67,
NGC6766,20:10:23.70,+46:27:39.0,,
NGC6767,19:11:33.91,+37:43:31.6,,
NGC6768,19:16:32.60,-40:12:33.0,1.26,1.0
NGC6769,19:18:22.68,-60:30:03.9,2.86,2.19
NGC6770,19:18:37.32,-60:29:47.3,2.39,1.72
NGC6771,19:18:39.51,-60:32:45.6,2.38,0.54
NGC6772,19:14:36.30,-02:42:24.5,1.07,
NGC6773,19:15:08.45,+04:51:23.6,,
NGC6774,19:16:16.30,-16:15:38.5,30.0,
NGC6775,19:16:42.86,-00:56:00.1,4.8,
NGC6776,19:25:19.15,-63:51:36.6,2.0,1.62
NGC6776A,19:25:05.38,-63:41:00.4,1.44,0.36
NGC6777,19:10:51.78,-59:58:54.7,,
NGC6778,19:18:24.85,-01:35:46.9,0.26,
NGC6779,19:16:35.51,+30:11:04.2,5.8,
NGC6780,19:22:50.88,-55:46:33.0,2.01,1.55
NGC6781,19:18:28.26,+06:32:23.0,1.8,
NGC6782,19:23:57.90,-59:55:20.9,2.45,1.49
NGC6783,19:16:47.62,+46:01:02.0,0.66,0.62
NGC6784,19:26:35.99,-65:37:03.7,1.04,0.56
NGC6784A,19:26:31.18,-65:37:34.0,0.95,0.54
NGC6785,19:18:24.85,-01:35:46.9,,
NGC6786,19:10:53.91,+73:24:36.6,0.81,0.48
NGC6787,19:16:10.58,+60:25:03.1,0.8,0.74
NGC6788,19:26:49.75,-54:57:04.7,3.2,1.05
NGC6789,19:16:42.16,+63:58:17.3,0.97,0.84
NGC6790,19:22:56.90,+01:30:48.0,0.12,
NGC6791,19:20:53.22,+37:46:18.8,6.3,
NGC6792,19:20:57.41,+43:07:57.0,2.08,1.11
NGC6793,19:23:14.39,+22:08:27.7,8.1,
NGC6794,19:28:03.88,-38:55:07.5,1.51,1.26
NGC6795,19:26:22.02,+03:30:51.7,,
NGC6796,19:21:30.87,+61:08:41.6,1.73,0.4
NGC6797,19:29:00.75,-25:39:59.6,,
NGC6798,19:24:03.17,+53:37:29.2,1.78,0.8
NGC6799,19:32:16.53,-55:54:28.5,1.83,1.36
NGC6800,19:27:07.68,+25:08:25.7,6.0,
NGC6801,19:27:35.81,+54:22:22.4,1.36,0.71
NGC6802,19:30:35.04,+20:15:39.5,4.5,
NGC6803,19:31:16.45,+10:03:21.7,0.09,
NGC6804,19:31:35.39,+09:13:30.6,0.58,
NGC6805,19:36:45.71,-37:33:15.7,1.16,1.03
NGC6806,19:37:05.05,-42:17:46.6,1.22,0.96
NGC6807,19:34:33.50,+05:41:03.0,0.03,
NGC6808,19:43:54.00,-70:38:00.2,0.8,0.25
NGC6809,19:39:59.40,-30:57:43.5,12.0,
NGC6810,19:43:34.25,-58:39:20.1,3.79,1.05
NGC6811,19:37:17.91,+46:23:19.8,7.2,
NGC6812,19:45:24.22,-55:20:48.5,1.75,1.12
NGC6813,19:40:22.44,+27:18:34.4,3.0,
NGC6814,19:42:40.64,-10:19:24.6,3.08,0.74
NGC6815,19:40:44.31,+26:45:32.4,,
NGC6816,19:44:02.23,-28:24:03.0,1.72,1.4
NGC6817,19:37:22.40,+62:22:59.0,0.9,
NGC6817 NED01,19:37:21.24,+62:22:57.7,0.26,0.18
NGC6817 NED02,19:37:23.38,+62:23:01.1,0.66,0.55
NGC6818,19:43:57.73,-14:09:11.4,0.77,
NGC6819,19:41:18.09,+40:11:12.3,6.9,
NGC6820,19:42:28.02,+23:05:17.1,0.5,0.5
NGC6821,19:44:24.06,-06:50:00.4,1.03,0.93
NGC6822,19:44:57.74,-14:48:12.4,17.38,16.75
NGC6823,19:43:09.89,+23:17:59.8,6.0,
NGC6824,19:43:40.70,+56:06:34.1,1.91,1.39
NGC6825,19:41:54.80,+64:04:23.0,0.72,0.32
NGC6826,19:44:48.11,+50:31:30.1,0.42,
NGC6827,19:48:53.44,+21:12:54.2,2.1,
NGC6828,19:50:17.61,+07:54:09.2,6.0,
NGC6829,19:47:07.56,+59:54:25.5,1.49,0.35
NGC6830,19:50:59.58,+23:06:00.5,4.2,
NGC6831,19:47:57.30,+59:53:33.1,1.29,1.17
NGC6832,19:48:15.26,+59:25:16.2,3.3,
NGC6833,19:49:46.60,+48:57:40.0,0.03,
NGC6834,19:52:12.56,+29:24:29.4,4.5,
NGC6835,19:54:32.95,-12:34:03.3,2.74,0.61
NGC6836,19:54:40.06,-12:41:16.6,1.42,1.11
NGC6837,19:53:08.63,+11:41:56.4,3.0,
NGC6838,19:53:46.11,+18:46:42.2,6.9,
NGC6839,19:54:00.00,+18:00:12.0,,
NGC6840,19:55:16.25,+12:06:52.6,4.5,
NGC6841,19:57:49.06,-31:48:38.5,1.63,1.46
NGC6842,19:55:02.26,+29:17:21.0,0.95,
NGC6843,19:56:06.22,+12:09:49.8,3.6,
NGC6844,20:02:50.13,-65:13:47.5,1.26,0.97
NGC6845,20:00:58.28,-47:04:11.9,4.1,
NGC6845A,20:00:58.42,-47:04:12.9,1.08,0.61
NGC6845B,20:01:05.30,-47:03:32.7,0.78,0.6
NGC6845C,20:00:56.81,-47:05:03.2,0.94,0.31
NGC6845D,20:00:53.59,-47:05:42.8,0.79,0.22
NGC6846,19:56:28.12,+32:20:58.9,2.4,
NGC6847,19:56:37.82,+30:12:46.5,10.0,10.0
NGC6848,20:02:47.25,-56:05:25.1,2.34,1.38
NGC6849,20:06:15.62,-40:11:53.9,2.15,1.42
NGC6850,20:03:30.10,-54:50:41.2,2.03,1.09
NGC6851,20:03:34.37,-48:17:04.2,2.18,1.7
NGC6851A,20:05:48.51,-47:58:41.7,1.35,0.7
NGC6851B,20:05:39.94,-47:58:44.6,1.12,0.18
NGC6852,20:00:39.16,+01:43:41.2,0.47,
NGC6853,19:59:36.38,+22:43:15.7,6.7,
NGC6854,20:05:38.80,-54:22:32.2,2.28,1.62
NGC6855,20:06:49.91,-56:23:23.7,1.27,0.95
NGC6856,19:59:17.13,+56:07:51.2,3.0,
NGC6857,20:01:48.13,+33:31:33.3,0.63,0.63
NGC6858,20:02:59.39,+11:15:33.9,4.2,
NGC6859,20:03:49.51,+00:26:40.7,,
NGC6860,20:08:46.89,-61:06:00.7,1.31,0.75
NGC6861,20:07:19.48,-48:22:12.8,3.18,2.36
NGC6861B,20:06:05.43,-48:28:28.0,1.21,0.4
NGC6861C,20:06:41.08,-48:38:59.2,1.11,0.42
NGC6861D,20:08:19.48,-48:12:41.1,2.36,0.85
NGC6861E,20:11:01.52,-48:41:26.1,1.48,0.31
NGC6861F,20:11:11.80,-48:16:33.0,1.82,0.35
NGC6862,20:08:54.58,-56:23:30.3,1.43,1.32
NGC6863,20:05:07.32,-03:33:18.5,,
NGC6864,20:06:04.84,-21:55:20.0,3.6,
NGC6865,20:05:56.48,-09:02:27.3,0.63,0.48
NGC6866,20:03:55.18,+44:09:32.8,5.1,
NGC6867,20:10:29.66,-54:46:59.7,1.61,0.55
NGC6868,20:09:54.07,-48:22:46.4,3.58,3.13
NGC6869,20:00:42.41,+66:13:39.1,1.44,1.44
NGC6870,20:10:10.86,-48:17:13.5,2.56,1.08
NGC6871,20:05:59.44,+35:46:38.1,9.3,
NGC6872,20:16:56.56,-70:46:04.6,4.7,1.8
NGC6873,20:07:13.89,+21:06:08.1,3.0,
NGC6874,20:07:33.08,+38:14:46.0,,
NGC6875,20:13:12.47,-46:09:41.9,2.15,1.3
NGC6875A,20:11:55.86,-46:08:38.7,2.97,0.61
NGC6876,20:18:19.15,-70:51:31.7,3.46,3.0
NGC6876A,20:11:16.85,-71:00:46.6,1.38,0.46
NGC6877,20:18:36.20,-70:51:11.0,2.38,1.14
NGC6878,20:13:53.24,-44:31:36.3,1.61,1.26
NGC6878A,20:13:36.00,-44:48:58.2,1.87,0.86
NGC6879,20:10:26.60,+16:55:22.1,0.08,
NGC6880,20:19:29.63,-70:51:35.5,2.46,1.06
NGC6881,20:10:52.50,+37:24:41.0,0.07,
NGC6882,20:11:55.86,+26:29:19.7,7.5,
NGC6883,20:11:19.75,+35:49:55.9,4.5,
NGC6884,20:10:23.70,+46:27:39.0,0.1,
NGC6885,20:11:55.86,+26:29:19.7,,
NGC6886,20:12:42.90,+19:59:23.0,0.09,
NGC6887,20:17:17.29,-52:47:48.3,3.44,1.18
NGC6888,20:12:06.55,+38:21:17.8,20.0,10.0
NGC6889,20:18:53.23,-53:57:25.5,1.71,1.08
NGC6890,20:18:18.10,-44:48:24.2,1.59,1.27
NGC6891,20:15:08.84,+12:42:15.7,0.25,
NGC6892,20:16:57.24,+18:01:10.8,,
NGC6893,20:20:49.64,-48:14:20.7,2.87,1.78
NGC6894,20:16:24.05,+30:33:54.3,0.67,
NGC6895,20:16:32.36,+50:14:25.7,5.1,
NGC6896,20:18:03.58,+30:38:24.2,,
NGC6897,20:21:01.27,-12:15:16.9,0.94,0.6
NGC6898,20:21:08.03,-12:21:32.0,1.03,0.94
NGC6899,20:24:22.24,-50:26:02.2,1.79,0.89
NGC6900,20:21:35.11,-02:34:09.2,0.94,0.74
NGC6901,20:22:21.51,+06:25:47.5,1.25,0.49
NGC6902,20:24:28.14,-43:39:12.7,2.69,2.11
NGC6902A,20:22:59.76,-44:16:17.5,0.98,0.74
NGC6902B,20:23:07.05,-43:52:07.0,1.32,1.2
NGC6903,20:23:44.86,-19:19:31.5,2.24,2.04
NGC6904,20:21:48.15,+25:44:29.4,4.2,
NGC6905,20:22:22.99,+20:06:16.3,0.67,
NGC6906,20:23:33.91,+06:26:37.2,1.12,0.48
NGC6907,20:25:06.63,-24:48:33.0,3.33,2.68
NGC6908,20:25:08.97,-24:48:04.1,1.87,1.01
NGC6909,20:27:38.89,-47:01:37.3,2.36,1.29
NGC6910,20:23:12.05,+40:46:43.0,6.3,
NGC6911,20:19:38.33,+66:43:42.0,1.84,1.01
NGC6912,20:26:52.08,-18:37:02.2,1.3,1.03
NGC6913,20:23:57.77,+38:30:27.6,3.6,
NGC6914,20:24:43.30,+42:28:57.5,3.0,3.0
NGC6915,20:27:46.06,-03:04:37.4,1.65,1.15
NGC6916,20:23:33.08,+58:20:38.6,1.64,1.11
NGC6917,20:27:28.36,+08:05:53.1,1.11,0.45
NGC6918,20:30:47.12,-47:28:25.4,0.99,0.76
NGC6919,20:31:38.12,-44:12:59.1,1.39,1.11
NGC6920,20:43:57.40,-80:00:03.0,2.3,1.86
NGC6921,20:28:28.86,+25:43:24.3,1.08,0.35
NGC6922,20:29:52.90,-02:11:28.3,1.17,0.92
NGC6923,20:31:39.07,-30:49:54.8,2.54,1.24
NGC6924,20:33:19.23,-25:28:28.0,1.7,1.45
NGC6925,20:34:20.57,-31:58:51.2,4.68,1.16
NGC6926,20:33:06.11,-02:01:39.0,1.33,0.37
NGC6927,20:32:38.21,+09:54:59.0,0.6,0.2
NGC6927A,20:32:36.69,+09:53:02.1,0.38,0.13
NGC6928,20:32:50.22,+09:55:35.1,2.08,0.51
NGC6929,20:33:21.68,-02:02:13.9,0.43,0.33
NGC6930,20:32:58.80,+09:52:28.0,1.43,0.46
NGC6931,20:33:41.35,-11:22:07.9,1.27,0.46
NGC6932,20:42:08.58,-73:37:09.7,2.45,1.44
NGC6933,20:33:38.18,+07:23:14.4,,
NGC6934,20:34:11.49,+07:24:14.8,5.4,
NGC6935,20:38:20.22,-52:06:37.6,2.18,1.91
NGC6936,20:35:56.30,-25:16:47.9,1.82,0.91
NGC6937,20:38:45.83,-52:08:35.7,2.55,1.69
NGC6938,20:34:42.49,+22:12:52.5,5.4,
NGC6939,20:31:30.13,+60:39:43.5,12.0,
NGC6940,20:34:26.69,+28:16:57.8,10.8,
NGC6941,20:36:23.47,-04:37:07.5,1.73,1.2
NGC6942,20:40:37.85,-54:18:11.0,2.24,1.71
NGC6943,20:44:33.74,-68:44:51.8,3.75,2.22
NGC6944,20:38:23.86,+06:59:47.2,1.12,0.79
NGC6944A,20:38:11.31,+06:54:09.6,0.97,0.69
NGC6945,20:39:00.62,-04:58:21.3,1.58,1.01
NGC6946,20:34:52.32,+60:09:14.1,11.4,10.84
NGC6947,20:41:15.12,-32:29:11.1,1.74,0.69
NGC6948,20:43:29.14,-53:21:24.2,2.0,0.95
NGC6949,20:35:06.92,+64:48:10.1,1.31,1.05
NGC6950,20:41:05.58,+16:37:20.0,4.5,
NGC6951,20:37:14.09,+66:06:20.3,3.19,2.09
NGC6952,20:37:14.09,+66:06:20.3,,
NGC6953,20:37:46.22,+65:45:53.5,,
NGC6954,20:44:03.18,+03:12:34.0,1.27,0.8
NGC6955,20:44:17.98,+02:35:41.4,1.27,0.98
NGC6956,20:43:53.71,+12:30:42.9,1.75,1.37
NGC6957,20:44:47.56,+02:34:52.4,0.62,0.57
NGC6958,20:48:42.59,-37:59:50.7,2.44,1.88
NGC6959,20:47:07.24,+00:25:48.7,0.5,0.34
NGC6960,20:45:58.18,+30:35:42.5,210.0,160.0
NGC6961,20:47:10.51,+00:21:47.8,0.76,0.73
NGC6962,20:47:19.06,+00:19:14.9,2.7,2.0
NGC6963,20:47:19.47,+00:30:38.3,,
NGC6964,20:47:24.30,+00:18:03.0,1.68,1.26
NGC6965,20:47:20.37,+00:29:02.6,0.73,0.63
NGC6966,20:47:26.76,+00:22:03.7,,
NGC6967,20:47:34.10,+00:24:41.8,1.19,0.71
NGC6968,20:48:32.48,-08:21:37.1,1.97,1.18
NGC6969,20:48:27.63,+07:44:23.9,1.21,0.37
NGC6970,20:52:09.46,-48:46:40.0,1.54,0.87
NGC6971,20:49:23.76,+05:59:44.1,1.05,0.87
NGC6972,20:49:58.94,+09:53:56.9,1.23,0.49
NGC6973,20:52:05.92,-05:53:42.7,,
NGC6974,20:51:04.32,+31:49:41.2,,
NGC6975,20:52:26.03,-05:46:20.3,1.02,0.92
NGC6976,20:52:26.03,-05:46:20.3,,
NGC6977,20:52:29.71,-05:44:46.0,1.25,0.93
NGC6978,20:52:35.43,-05:42:40.1,1.51,0.57
NGC6979,20:50:28.01,+32:01:33.2,7.0,3.0
NGC6980,20:52:48.94,-05:50:16.4,,
NGC6981,20:53:27.91,-12:32:13.4,4.5,
NGC6982,20:57:18.38,-51:51:44.2,1.0,0.49
NGC6983,20:56:43.43,-43:59:09.7,0.85,0.66
NGC6984,20:57:53.98,-51:52:15.0,1.8,1.16
NGC6985,20:45:02.98,-11:06:15.1,1.25,0.51
NGC6985A,20:45:01.27,-11:06:27.6,1.02,0.44
NGC6986,20:56:30.66,-18:33:59.6,0.98,0.64
NGC6987,20:58:10.36,-48:37:49.1,2.03,1.63
NGC6988,20:55:48.96,+10:30:28.3,0.68,0.59
NGC6989,20:54:06.92,+45:14:21.4,5.4,
NGC6990,20:59:56.92,-55:33:43.1,1.24,0.56
NGC6991,20:54:52.00,+47:27:42.0,23.0,
NGC6992,20:56:19.07,+31:44:33.9,60.0,8.0
NGC6993,20:53:54.05,-25:28:21.1,1.47,1.17
NGC6994,20:58:55.97,-12:38:07.8,,
NGC6995,20:57:10.76,+31:14:06.6,12.0,12.0
NGC6996,20:56:30.01,+45:28:22.9,,
NGC6997,20:56:39.45,+44:37:53.4,6.9,
NGC6998,21:01:37.68,-28:01:54.9,0.94,0.89
NGC6999,21:01:59.54,-28:03:32.1,1.21,0.99
NGC7000,20:59:17.14,+44:31:43.6,120.0,30.0
NGC7001,21:01:07.75,-00:11:42.6,1.38,1.03
NGC7002,21:03:44.80,-49:01:47.1,2.1,1.66
NGC7003,21:00:42.42,+17:48:17.6,0.99,0.66
NGC7004,21:04:02.18,-49:06:51.3,1.26,0.48
NGC7005,21:01:57.65,-12:52:57.4,,
NGC7006,21:01:29.25,+16:11:15.1,4.2,
NGC7007,21:05:27.92,-52:33:07.1,3.39,1.23
NGC7008,21:00:32.80,+54:32:35.5,1.43,
NGC7009,21:04:10.79,-11:21:47.7,0.7,0.52
NGC7010,21:04:39.50,-12:20:18.2,2.18,1.12
NGC7011,21:01:49.38,+47:21:15.5,,
NGC7012,21:06:45.52,-44:48:53.0,1.65,0.81
NGC7013,21:03:33.58,+29:53:50.9,4.16,1.33
NGC7014,21:07:52.17,-47:10:44.4,2.03,1.77
NGC7015,21:05:37.38,+11:24:51.0,1.7,1.51
NGC7016,21:07:16.28,-25:28:08.2,1.02,0.86
NGC7017,21:07:20.53,-25:29:12.7,0.85,0.6
NGC7018,21:07:25.35,-25:25:39.9,0.93,0.59
NGC7019,21:06:25.73,-24:24:45.6,0.74,0.39
NGC7020,21:11:20.09,-64:01:31.2,4.1,1.67
NGC7021,21:11:20.09,-64:01:31.2,,
NGC7022,21:09:35.24,-49:18:13.2,1.52,1.08
NGC7023,21:01:35.62,+68:10:10.4,10.0,8.0
NGC7024,21:06:08.11,+41:29:04.5,4.92,
NGC7025,21:07:47.34,+16:20:09.1,2.02,1.32
NGC7026,21:06:18.48,+47:51:07.9,0.33,
NGC7027,21:07:01.53,+42:14:11.5,0.23,
NGC7028,21:05:50.04,+18:28:05.5,0.64,0.27
NGC7029,21:11:52.05,-49:17:01.4,2.75,1.57
NGC7030,21:11:13.33,-20:29:09.1,0.86,0.65
NGC7031,21:07:12.55,+50:52:32.0,3.9,
NGC7032,21:15:22.88,-68:17:16.4,1.17,0.99
NGC7033,21:09:36.26,+15:07:29.6,0.88,0.6
NGC7034,21:09:38.18,+15:09:02.4,0.96,0.7
NGC7035,21:10:46.40,-23:08:09.0,1.2,
NGC7035A,21:10:45.46,-23:08:06.5,0.89,0.65
NGC7035B,21:10:47.30,-23:08:13.5,1.23,0.91
NGC7036,21:10:12.39,+15:22:34.0,4.5,
NGC7037,21:10:45.72,+33:43:42.0,6.0,
NGC7038,21:15:07.51,-47:13:13.8,3.22,1.69
NGC7039,21:10:47.80,+45:37:18.5,7.8,
NGC7040,21:13:16.50,+08:51:53.9,1.04,0.74
NGC7041,21:16:32.38,-48:21:48.8,3.46,1.47
NGC7042,21:13:45.86,+13:34:29.7,1.78,1.56
NGC7043,21:14:04.17,+13:37:33.7,0.82,0.64
NGC7044,21:13:09.41,+42:29:46.3,6.0,
NGC7045,21:14:50.06,+04:30:24.4,,
NGC7046,21:14:56.04,+02:50:05.4,1.1,0.77
NGC7047,21:16:27.65,-00:49:35.4,1.34,0.65
NGC7048,21:14:15.20,+46:17:19.0,1.02,
NGC7049,21:19:00.30,-48:33:43.8,3.94,2.69
NGC7050,21:15:08.55,+36:10:30.9,3.6,
NGC7051,21:19:51.33,-08:46:58.6,1.25,0.92
NGC7052,21:18:33.05,+26:26:49.3,1.82,0.9
NGC7053,21:21:07.61,+23:05:05.3,1.57,1.47
NGC7054,21:30:01.95,+26:43:04.1,,
NGC7055,21:19:30.11,+57:32:44.2,3.0,
NGC7056,21:22:07.56,+18:39:56.4,1.1,1.03
NGC7057,21:24:58.70,-42:27:37.6,1.36,0.81
NGC7058,21:21:53.58,+50:49:08.5,5.1,
NGC7059,21:27:21.47,-60:00:52.5,3.69,1.31
NGC7060,21:25:53.58,-42:24:40.6,2.02,1.09
NGC7061,21:27:26.85,-49:03:48.6,1.63,0.94
NGC7062,21:23:27.48,+46:22:42.7,3.6,
NGC7063,21:24:21.70,+36:29:15.0,6.3,
NGC7064,21:29:02.98,-52:46:03.4,3.74,0.7
NGC7065,21:26:42.51,-06:59:41.7,1.0,0.79
NGC7065A,21:26:57.85,-07:01:17.5,1.1,1.04
NGC7066,21:26:14.00,+14:10:55.0,0.83,0.81
NGC7067,21:24:23.12,+48:00:33.3,2.4,
NGC7068,21:26:32.37,+12:11:03.5,0.76,0.33
NGC7069,21:28:05.87,-01:38:48.7,1.15,0.7
NGC7070,21:30:25.35,-43:05:13.6,2.5,2.16
NGC7070A,21:31:47.29,-42:50:51.6,2.21,1.7
NGC7071,21:26:39.33,+47:55:10.5,,
NGC7072,21:30:36.92,-43:09:12.7,0.82,0.63
NGC7072A,21:30:25.68,-43:12:09.4,0.8,0.61
NGC7073,21:29:26.02,-11:29:17.3,0.92,0.81
NGC7074,21:29:38.84,+06:40:57.2,0.83,0.48
NGC7075,21:31:32.98,-38:37:04.5,1.45,1.09
NGC7076,21:26:23.50,+62:53:33.0,0.93,
NGC7077,21:29:59.61,+02:24:51.0,0.9,0.56
NGC7078,21:29:58.38,+12:10:00.6,11.1,
NGC7079,21:32:35.25,-44:04:03.2,2.3,1.44
NGC7080,21:30:01.95,+26:43:04.1,1.63,1.54
NGC7081,21:31:24.12,+02:29:28.6,0.77,0.65
NGC7082,21:29:17.74,+47:07:34.6,9.0,
NGC7083,21:35:44.69,-63:54:10.2,3.56,1.98
NGC7084,21:32:33.13,+17:30:30.7,6.0,
NGC7085,21:32:25.23,+06:34:52.5,0.99,0.42
NGC7086,21:30:27.55,+51:36:01.9,4.8,
NGC7087,21:34:33.47,-40:49:07.1,0.86,0.62
NGC7088,21:33:22.12,-00:22:57.4,,
NGC7089,21:33:27.01,-00:49:23.9,8.4,
NGC7090,21:36:28.86,-54:33:26.4,8.15,1.63
NGC7091,21:34:07.94,-36:39:13.4,1.86,1.31
NGC7092,21:31:48.32,+48:26:17.4,19.5,
NGC7093,21:34:21.70,+45:57:54.0,3.6,
NGC7094,21:36:52.97,+12:47:19.1,1.65,
NGC7095,21:52:26.44,-81:31:51.0,2.71,2.21
NGC7096,21:41:19.28,-63:54:31.3,2.1,1.98
NGC7096A,21:38:48.27,-64:21:00.7,2.0,0.69
NGC7097,21:40:12.91,-42:32:21.8,1.89,1.36
NGC7097A,21:40:37.86,-42:28:49.0,0.7,0.44
NGC7098,21:44:16.12,-75:06:40.8,1.78,0.91
NGC7099,21:40:22.02,-23:10:44.7,9.0,
NGC7100,21:39:07.04,+08:57:05.5,,
NGC7101,21:39:34.61,+08:52:37.0,0.82,0.75
NGC7102,21:39:44.49,+06:17:10.7,1.48,0.89
NGC7103,21:39:51.50,-22:28:26.0,1.42,0.92
NGC7104,21:40:03.18,-22:25:29.3,0.79,0.73
NGC7105,21:41:41.35,-10:38:07.8,1.51,0.74
NGC7106,21:42:36.59,-52:41:58.3,1.66,1.12
NGC7107,21:42:26.48,-44:47:25.0,1.91,0.94
NGC7108,21:41:53.75,-06:42:31.8,1.17,0.79
NGC7109,21:41:58.53,-34:26:45.2,0.87,0.81
NGC7110,21:42:12.15,-34:09:44.0,1.4,0.73
NGC7111,21:41:53.75,-06:42:31.8,,
NGC7112,21:42:26.64,+12:34:09.3,0.99,0.99
NGC7113,21:42:26.64,+12:34:09.3,,
NGC7114,21:41:44.03,+42:50:30.5,,
NGC7115,21:43:38.53,-25:21:05.8,1.91,0.59
NGC7116,21:42:40.22,+28:56:47.7,1.22,0.5
NGC7117,21:45:47.04,-48:25:13.5,1.71,1.0
NGC7118,21:46:09.74,-48:21:13.7,1.7,1.36
NGC7119,21:46:15.50,-46:31:05.0,1.0,
NGC7119A,21:46:16.05,-46:30:58.1,0.7,0.46
NGC7119B,21:46:15.18,-46:31:06.3,0.64,0.21
NGC7120,21:44:33.22,-06:31:23.4,0.84,0.46
NGC7121,21:44:52.58,-03:37:11.0,1.17,0.62
NGC7122,21:45:47.82,-08:49:46.6,,
NGC7123,21:50:46.63,-70:20:02.9,2.63,1.12
NGC7124,21:48:05.39,-50:33:54.8,2.56,1.06
NGC7125,21:49:15.98,-60:42:47.4,2.94,1.84
NGC7126,21:49:18.13,-60:36:33.2,2.55,1.09
NGC7127,21:43:41.99,+54:37:47.9,2.7,
NGC7128,21:43:57.81,+53:42:54.5,3.0,
NGC7129,21:42:59.03,+66:06:46.7,2.1,
NGC7130,21:48:19.52,-34:57:04.5,1.56,1.33
NGC7131,21:47:36.11,-13:10:57.4,1.13,0.87
NGC7132,21:47:16.58,+10:14:28.2,0.9,0.72
NGC7133,21:44:26.70,+66:10:06.3,,
NGC7134,21:48:56.26,-12:58:23.3,,
NGC7135,21:49:46.01,-34:52:34.6,2.6,2.03
NGC7136,21:49:43.13,-11:47:35.9,,
NGC7137,21:48:13.04,+22:09:34.5,1.84,1.65
NGC7138,21:49:01.09,+12:30:51.2,1.2,0.62
NGC7139,21:46:08.60,+63:47:31.0,1.28,
NGC7140,21:52:15.31,-55:34:10.8,3.04,2.07
NGC7141,21:52:15.31,-55:34:10.8,,
NGC7142,21:45:09.51,+65:46:28.0,9.6,
NGC7143,21:48:53.67,+29:57:17.9,,
NGC7144,21:52:42.43,-48:15:13.5,3.41,3.2
NGC7145,21:53:20.24,-47:52:56.8,2.95,0.76
NGC7146,21:51:47.37,+03:01:01.3,0.73,0.42
NGC7147,21:51:58.43,+03:04:18.1,0.99,0.76
NGC7148,21:52:08.47,+03:20:29.3,,
NGC7149,21:52:11.68,+03:18:04.1,1.3,0.86
NGC7150,21:50:23.99,+49:45:21.9,,
NGC7151,21:55:04.14,-50:39:28.4,2.66,0.89
