id,ra,dec,maj_ax,min_ax
NGC277,00:51:17.23,-08:35:48.6,1.34,1.11
NGC278,00:52:04.31,+47:33:01.8,2.36,2.3
NGC279,00:52:08.95,-02:13:06.4,1.41,1.06
NGC280,00:52:30.26,+24:21:02.1,1.0,0.66
NGC281,00:52:59.35,+56:37:18.8,35.0,30.0
NGC282,00:52:42.15,+30:38:20.6,1.25,0.97
NGC283,00:53:13.21,-13:09:50.0,1.14,0.62
NGC284,00:53:24.27,-13:09:31.9,0.62,0.55
NGC285,00:53:29.89,-13:09:38.6,0.76,0.65
NGC286,00:53:30.38,-13:06:46.0,0.88,0.42
NGC287,00:53:28.29,+32:28:56.3,0.83,0.64
NGC288,00:52:47.45,-26:35:23.6,9.6,
NGC289,00:52:42.36,-31:12:21.0,3.36,2.51
NGC290,00:51:14.18,-73:09:41.5,1.1,1.1
NGC291,00:53:29.92,-08:46:04.1,0.98,0.53
NGC292,00:52:44.78,-72:49:43.0,299.92,179.89
NGC293,00:54:15.96,-07:14:07.7,1.12,0.63
NGC294,00:53:04.71,-73:22:49.3,1.7,1.7
NGC295,00:59:32.28,+31:47:53.0,0.59,0.54
NGC296,00:55:07.51,+31:32:32.2,2.23,0.88
NGC297,00:54:58.94,-07:20:58.8,0.35,0.29
NGC298,00:55:02.35,-07:19:59.1,1.47,0.49
NGC299,00:53:24.07,-72:11:49.6,0.9,0.9
NGC300,00:54:53.48,-37:41:03.8,19.41,13.06
NGC301,00:56:18.35,-10:40:26.0,0.64,0.59
NGC302,00:56:25.31,-10:39:47.6,,
NGC303,00:54:54.71,-16:39:16.6,0.73,0.26
NGC304,00:56:06.02,+24:07:36.8,1.17,0.76
NGC305,00:56:20.92,+12:03:54.4,,
NGC306,00:54:14.18,-72:14:32.4,1.1,1.1
NGC307,00:56:32.58,-01:46:19.0,1.61,0.67
NGC308,00:56:34.22,-01:47:02.1,,
NGC309,00:56:42.66,-09:54:49.9,2.23,1.95
NGC310,00:56:47.98,-01:45:56.8,,
NGC311,00:57:32.73,+30:16:50.7,1.36,0.69
NGC312,00:56:15.93,-52:46:57.7,1.84,1.38
NGC313,00:57:45.64,+30:21:57.9,,
NGC314,00:56:52.41,-31:57:46.7,1.0,0.77
NGC315,00:57:48.88,+30:21:08.8,2.86,2.14
NGC316,00:57:52.45,+30:21:15.5,,
NGC317,00:57:39.7,+43:47:47.0,1.83,
NGC0317A,00:57:39.05,+43:48:02.8,1.21,0.96
NGC0317B,00:57:40.45,+43:47:32.1,0.97,0.45
NGC318,00:58:05.23,+30:25:31.9,0.6,0.29
NGC319,00:56:57.60,-43:50:19.6,1.0,0.74
NGC320,00:58:46.53,-20:50:24.3,0.89,0.49
NGC321,00:57:39.23,-05:05:10.3,0.45,0.35
NGC322,00:57:10.01,-43:43:37.5,1.15,0.57
NGC323,00:56:41.65,-52:58:33.3,1.82,1.52
NGC324,00:57:14.78,-40:57:32.8,1.48,0.62
NGC325,00:57:47.87,-05:06:43.5,1.19,0.23
NGC326,00:58:22.70,+26:51:55.0,1.0,
NGC0326 NED01,00:58:22.64,+26:51:58.5,1.0,0.89
NGC0326 NED02,00:58:22.85,+26:51:52.4,0.17,0.17
NGC327,00:57:55.36,-05:07:49.5,1.39,0.63
NGC328,00:56:57.57,-52:55:26.1,2.46,0.71
NGC329,00:58:01.60,-05:04:16.4,1.59,0.64
NGC330,00:56:17.65,-72:27:46.6,2.8,2.5
NGC331,00:47:06.86,-02:43:52.1,0.96,0.6
NGC332,00:58:49.13,+07:06:40.7,1.37,1.31
NGC333,00:58:51.20,-16:28:13.0,1.5,
NGC0333A,00:58:51.31,-16:28:09.1,0.41,0.34
NGC0333B,00:58:51.09,-16:28:17.2,1.5,0.8
NGC334,00:58:49.81,-35:06:57.7,1.08,0.65
NGC335,00:59:19.78,-18:14:04.8,1.28,0.41
NGC336,00:58:02.83,-18:23:03.6,0.75,0.3
NGC337,00:59:50.09,-07:34:40.7,2.92,1.89
NGC0337A,01:01:33.90,-07:35:17.7,2.63,1.73
NGC338,01:00:36.41,+30:40:08.3,1.75,0.66
NGC339,00:57:42.06,-74:28:24.2,2.9,2.9
NGC340,01:00:34.88,-06:51:59.7,0.94,0.39
NGC341,01:00:45.83,-09:11:08.5,1.25,1.14
NGC342,01:00:49.86,-06:46:21.2,0.91,0.43
NGC343,00:58:23.93,-23:13:30.8,0.72,0.27
NGC344,00:58:25.44,-23:13:45.2,0.28,0.2
NGC345,01:01:22.10,-06:53:03.4,0.98,0.58
NGC346,00:59:05.04,-72:10:37.6,8.5,8.5
NGC347,01:01:35.16,-06:44:01.2,0.6,0.46
NGC348,01:00:52.01,-53:14:40.2,0.84,0.72
NGC349,01:01:50.75,-06:47:59.3,1.34,1.16
NGC350,01:01:56.71,-06:47:44.6,0.79,0.52
NGC351,01:01:57.84,-01:56:12.3,1.53,0.75
NGC352,01:02:09.21,-04:14:43.7,2.29,0.78
NGC353,01:02:24.53,-01:57:31.9,1.26,0.46
