designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
M  19,N/A,NGC 6273,Glob CL,OPH,6.8,11,5.3',17 02.6,-26 16,255.65708333333336,-26.267944444444442,VIII
M  20,Trifid Nebula,NGC 6514,CL+Neb,SGR,6.3,13,28',18 02.7,-22 58,270.59583333333336,-23.029999999999998,E+*
M  21,N/A,NGC 6531,Opn CL,SGR,5.9,11,13',18 04.2,-22 29,271.05,-22.483333333333334,I 3 m
M  22,N/A,NGC 6656,Glob CL,SGR,5.2,11,24',18 36.4,-23 54,279.0995833333334,-23.90475,VII
M  23,N/A,NGC 6494,Opn CL,SGR,5.5,13,27',17 57.1,-18 59,269.27500000000003,-18.983333333333334,III 1 m
M  24,Delle Caustiche,IC  4715,Opn CL,SGR,3.1,4.3,95',18 26.6,-18 23,276.65000000000003,-18.383333333333333,N/A
M  25,N/A,IC  4725,Opn CL,SGR,4.6,12,29',18 31.8,-19 07,277.95000000000005,-19.116666666666667,I 2 p
M  26,N/A,NGC 6694,Opn CL,SCT,8,12,15',18 45.2,-09 24,281.3,-9.4,I 1 m
M  27,Apple Core Nebula,NGC 6853,Pln Neb,VUL,7.3,11.2,480'',19 59.6,+22 43,299.90125,22.721138888888888,3(2)
M  28,N/A,NGC 6626,Glob CL,SGR,6.9,11,15',18 24.5,-24 52,276.1370833333333,-24.869833333333332,IV
M  29,Cooling Tower,NGC 6913,Opn CL,CYG,6.6,11,7',20 23.9,+38 32,305.9833333333333,38.52333333333333,III 3 p n
M  30,N/A,NGC 7099,Glob CL,CAP,6.9,11,8.9',21 40.4,-23 11,325.09208333333333,-23.179861111111112,V
M  31,Andromeda A,NGC  224,Galaxy,AND,3.4,13.5,189',00 42.7,+41 16,10.684583333333332,41.26916666666666,Sb
M  32,N/A,NGC  221,Galaxy,AND,8.1,12.4,8.5',00 42.7,+40 52,10.674166666666666,40.86527777777778,E2
M  33,Pinwheel Galaxy,NGC  598,Galaxy,TRI,5.7,14.2,68.7',01 33.9,+30 39,23.458333333333332,30.660194444444443,Sc
M  34,Spiral Cluster,NGC 1039,Opn CL,PER,5.2,-,35',02 42.1,+42 47,40.525,42.78333333333333,II 3 m
M  35,N/A,NGC 2168,Opn CL,GEM,5.1,12,28',06 08.9,+24 21,92.225,24.35,III 2 m
M  36,Pinwheel Cluster,NGC 1960,Opn CL,AUR,6,12,12',05 36.3,+34 08,84.04999999999998,34.13444444444444,II 3 m
M  37,Auriga Salt-and-Pepper,NGC 2099,Opn CL,AUR,5.6,11,24',05 52.3,+32 33,88.075,32.550555555555555,II 1 r
M  38,Starfish Cluster,NGC 1912,Opn CL,AUR,6.4,12,21',05 28.7,+35 51,82.175,35.855000000000004,III 2 m
M  39,N/A,NGC 7092,Opn CL,CYG,4.6,11,32',21 32.2,+48 26,322.925,48.43333333333333,III 2 p
M  40,Winnecke 4 (WNC4),Winnecke 4,2 Stars,UMA,9,-,N/A,12 21.9,+58 06,185.55208333333331,58.08305555555556,N/A
M  41,N/A,NGC 2287,Opn CL,CMA,4.5,12,38',06 46.0,-20 45,101.5,-20.75,II 3 m
M  42,Orion A,NGC 1976,CL+Neb,ORI,4,11,90',05 35.3,-05 23,83.82208333333332,-5.391111111111112,E+R
M  43,De Mairan's Nebula,NGC 1982,Brt Neb,ORI,7,13,20',05 35.5,-05 16,83.875,-5.266666666666667,E
M  44,Beehive Cluster,NGC 2632,Opn CL,CNC,3.1,13,95',08 40.0,+19 40,130.0,19.666666666666668,II 2 m
