designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
PK 342- 4.1,N/A,He2-207,Pln Neb,SCO,12,13.4,40'',17 19.5,-45 53,259.875,-45.88333333333333,N/A
PK 342- 6.1,N/A,Cannon 1-4,Pln Neb,ARA,12.9,8.5,10'',17 27.9,-46 56,261.975,-46.93333333333333,N/A
PK 342+27.1,N/A,Merrill 2-1,Pln Neb,LIB,11.6,6.7,16'',15 22.3,-23 38,230.575,-23.633333333333333,2
PK 342-14.1,N/A,Shapley 3,Pln Neb,ARA,11.9,12.4,36'',18 07.4,-51 03,271.85,-51.05,N/A
PK 343+11.1,N/A,Haro 1- 1,Pln Neb,SCO,14,-,2.5'',16 13.5,-34 36,243.37500000000003,-34.6,2
PK 345- 0.1,N/A,Haro 2- 3,Brt Neb,SCO,-,-,N/A,17 09.5,-41 36,257.375,-41.6,N/A
PK 345- 1.1,N/A,He2-300,Pln Neb,SCO,13.4,-,8.5'',17 10.5,-41 53,257.625,-41.88333333333333,2
PK 345- 4.1,N/A,Cannon 1-3,Pln Neb,SCO,11.9,6.5,5'',17 26.3,-44 12,261.575,-44.2,1
PK 346- 6.1,N/A,He2-257,Pln Neb,SCO,12.6,-,5'',17 39.3,-44 10,264.82500000000005,-44.166666666666664,N/A
PK 347+ 5.1,N/A,Haro 1-2,Pln Neb,SCO,13,-,1'',16 48.9,-35 47,252.22500000000002,-35.78333333333333,N/A
PK 348- 0.1,N/A,Haro 2- 6,Brt Neb,SCO,-,-,N/A,17 18.4,-39 19,259.59999999999997,-39.31666666666667,N/A
PK 349- 4.1,N/A,Longmore 16,Pln Neb,SCO,13,-,83'',17 35.7,-40 12,263.92499999999995,-40.2,N/A
PK 349+ 4.1,N/A,M2-4,Pln Neb,SCO,13.4,-,5'',17 01.1,-34 50,255.275,-34.833333333333336,1
PK 350- 3.1,N/A,Haro 1-26,Pln Neb,SCO,14,-,23'',17 36.5,-39 22,264.125,-39.36666666666667,4
