designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
vdB  80,N/A,LBN 1015,Brt Neb,MON,-,-,5.8',06 30.9,-09 39,97.725,-9.65,R
vdB  96,N/A,Ced  96,Brt Neb,CMA,-,-,10',07 19.9,-24 02,109.97500000000001,-24.033333333333335,R
vdB  97,N/A,N/A,Brt Neb,PUP,-,-,10',07 32.2,-17 03,113.05000000000001,-17.05,R
vdB  98,N/A,Ced 101,Brt Neb,PUP,-,-,10',07 36.6,-25 18,114.15,-25.3,R
vdB 107,N/A,Ced 132,Brt Neb,SCO,-,-,85',16 29.2,-26 27,247.3,-26.45,R
vdB 111,N/A,LBN 88,Brt Neb,OPH,-,-,12',17 19.0,+06 05,259.75,6.083333333333333,R
vdB 123,N/A,LBN 96,Brt Neb,SER,-,-,10',18 30.4,+01 14,277.6,1.2333333333333334,R
vdB 126,N/A,Ced  16,Brt Neb,VUL,-,-,7',19 26.2,+22 45,291.55,22.75,R
vdB 128,N/A,N/A,Brt Neb,CYG,-,-,8',20 04.5,+32 14,301.125,32.233333333333334,R
vdB 133,N/A,LBN 218,Brt Neb,CYG,-,-,10',20 31.0,+36 57,307.75,36.95,R
vdB 140,N/A,Ced 191,Brt Neb,CEP,-,-,12',21 17.4,+58 37,319.34999999999997,58.61666666666667,R
vdB 143,N/A,Ced 194,Brt Neb,CEP,-,-,8',21 37.0,+68 11,324.25,68.18333333333334,R
vdB 145,N/A,N/A,Brt Neb,CYG,-,-,9',21 43.7,+48 55,325.92499999999995,48.916666666666664,R
vdBH 81,N/A,N/A,Brt Neb,ARA,-,-,6',17 04.0,-51 05,256.0,-51.083333333333336,R
VY CMA,N/A,N/A,Brt Neb,CMA,10.8,-,0.2',07 23.0,-25 46,110.75,-25.766666666666666,R
Waterloo 6,N/A,N/A,Opn CL,VEL,8.4,-,2.2',08 40.4,-46 09,130.1,-46.15,II 3 p
