designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
NGC  198,N/A,UGC   414,Galaxy,PSC,13.1,13.4,1.1',00 39.4,+02 48,9.845749999999999,2.7979166666666666,Sc
NGC  199,N/A,UGC   415,Galaxy,PSC,13.6,13.4,1.2',00 39.6,+03 08,9.888208333333333,3.1385277777777776,SO
NGC  200,N/A,UGC   420,Galaxy,PSC,12.6,13.1,1.7',00 39.6,+02 53,9.895333333333333,2.8874444444444443,SBbc
NGC  201,N/A,UGC   419,Galaxy,CET,12.9,13.8,1.8',00 39.6,+00 52,9.895083333333334,0.8598888888888888,SBc
NGC  203,N/A,NGC  211,Galaxy,PSC,14,12.3,0.9',00 39.7,+03 27,9.914708333333333,3.442888888888889,SO
NGC  204,N/A,UGC   423,Galaxy,PSC,12.9,13.1,1.2',00 39.7,+03 18,9.934458333333334,3.299583333333333,SO
NGC  206,N/A,N/A,C+N+G,AND,12.8,-,1.8',00 40.5,+40 44,10.130416666666665,40.73927777777778,Pec
NGC  209,N/A,ESO 540- 8,Galaxy,CET,12.9,13.3,1.3',00 39.1,-18 37,9.765,-18.60827777777778,E-SO
NGC  210,N/A,MCG - 2- 2- 81,Galaxy,CET,10.9,13.8,4.6',00 40.6,-13 52,10.145916666666666,-13.872805555555557,SBb
NGC  212,N/A,ESO 150-18,Galaxy,PHE,13.4,13.6,1.3',00 40.2,-56 09,10.055541666666667,-56.15302777777778,E-SO
NGC  213,N/A,UGC   436,Galaxy,PSC,13.3,14.1,1.7',00 41.2,+16 28,10.291666666666666,16.469388888888886,SBa
NGC  214,N/A,UGC   438,Galaxy,AND,12.3,13.1,1.9',00 41.5,+25 30,10.366791666666668,25.499444444444446,SBc
NGC  215,N/A,ESO 150-19,Galaxy,PHE,13.1,12.9,1.1',00 40.8,-56 13,10.203624999999999,-56.21405555555556,E-SO
NGC  216,N/A,ESO 540-15,Galaxy,CET,13.2,13.5,2',00 41.5,-21 03,10.363125,-21.045444444444446,SO
